Timestamp,freq:,:,::Magnitude,::Angle,::Magnitude,::Angle,::Magnitude,::Angle,:
2020/10/26 18:16:15.003,59.99917,0.00157,120.16194,-176.5171,120.15562,-56.64189,120.15736,63.40083,1
2020/10/26 18:16:15.036,59.99904,0.00021,120.15197,-176.5168,120.14748,-56.65646,120.1395,63.38589,1
2020/10/26 18:16:15.069,59.99949,0.00304,120.16013,-176.5313,120.14484,-56.66705,120.14845,63.38803,1
2020/10/26 18:16:15.102,59.99835,-0.0047,120.14774,-176.5501,120.14508,-56.68424,120.15742,63.36884,1
2020/10/26 18:16:15.135,59.99985,0.00513,120.15711,-176.5551,120.13959,-56.68823,120.15745,63.35818,1
2020/10/26 18:16:15.168,59.99887,-0.0018,120.16589,-176.5649,120.12861,-56.6962,120.15749,63.34752,1
2020/10/26 18:16:15.201,59.99924,0.00116,120.1641,-176.5792,120.14532,-56.70144,120.17988,63.33687,1
2020/10/26 18:16:15.234,59.999,-0.00296,120.15233,-176.5932,120.15654,-56.71066,120.18442,63.32195,1
2020/10/26 18:16:15.267,59.99927,0.00551,120.1717,-176.5985,120.12075,-56.72798,120.13525,63.3155,1
2020/10/26 18:16:15.300,59.99897,-0.00527,120.15055,-176.6075,120.16255,-56.74105,120.14423,63.30699,1
2020/10/26 18:16:15.333,59.99874,-0.00077,120.14937,-176.617,120.16831,-56.75426,120.15776,63.28354,1
2020/10/26 18:16:15.366,59.99945,0.0013,120.16757,-176.6319,120.14062,-56.75701,120.16676,63.27502,1
2020/10/26 18:16:15.399,59.99906,0.00034,120.1664,-176.6414,120.14639,-56.77022,120.15783,63.27288,1
2020/10/26 18:16:15.432,59.99914,-0.00076,120.16464,-176.6557,120.13831,-56.7848,120.16682,63.26436,1
2020/10/26 18:16:15.465,59.99911,0.00081,120.16348,-176.6652,120.16342,-56.79263,120.16246,63.2473,1
2020/10/26 18:16:15.498,59.99939,0.00388,120.17229,-176.675,120.15794,-56.79662,120.17596,63.23453,1
2020/10/26 18:16:15.531,59.99821,-0.00743,120.16058,-176.689,120.13057,-56.81658,120.16712,63.22172,1
2020/10/26 18:16:15.564,59.99966,0.00365,120.17882,-176.7038,120.12252,-56.83116,120.13583,63.21953,1
2020/10/26 18:16:15.597,59.99928,0.00084,120.14886,-176.703,120.14184,-56.82579,120.17181,63.19613,1
2020/10/26 18:16:15.630,59.99848,-0.00379,120.1577,-176.7128,120.15344,-56.85219,120.16298,63.18333,1
2020/10/26 18:16:15.663,59.99979,0.00242,120.17595,-176.7276,120.15089,-56.86278,120.14954,63.18543,1
2020/10/26 18:16:15.696,59.99902,0.00485,120.17538,-176.7324,120.15379,-56.86938,120.14964,63.17477,1
2020/10/26 18:16:15.729,59.9988,-0.00516,120.1731,-176.7514,120.13739,-56.88136,120.16759,63.16841,1
2020/10/26 18:16:15.762,59.99893,-0.00209,120.15201,-176.7604,120.13484,-56.89196,120.15888,63.14493,1
2020/10/26 18:16:15.795,60.00005,0.00945,120.17197,-176.7609,120.1323,-56.90256,120.12309,63.14698,1
2020/10/26 18:16:15.828,59.99834,-0.00874,120.16029,-176.7749,120.13814,-56.91575,120.14116,63.12996,1
2020/10/26 18:16:15.861,59.99899,-0.0002,120.15638,-176.8083,120.13268,-56.91975,120.186,63.11941,1
2020/10/26 18:16:15.894,59.99952,0.00429,120.14751,-176.7985,120.13307,-56.93694,120.15472,63.1172,1
2020/10/26 18:16:15.927,59.9991,0.001,120.16637,-176.8085,120.13053,-56.94754,120.14593,63.10438,1
2020/10/26 18:16:15.960,59.99884,-0.00725,120.15416,-176.8273,120.12801,-56.95814,120.15059,63.08946,1
2020/10/26 18:16:15.993,59.99949,0.00691,120.16359,-176.8323,120.12549,-56.96874,120.14181,63.07664,1
2020/10/26 18:16:16.026,59.99879,-0.00118,120.14252,-176.8413,120.15064,-56.97653,120.15101,63.05747,1
2020/10/26 18:16:16.059,59.99902,-0.00302,120.14143,-176.8509,120.12885,-56.99253,120.15554,63.05323,1
2020/10/26 18:16:16.092,59.99911,4E-05,120.16864,-176.8754,120.14017,-57.00172,120.1646,63.04472,1
2020/10/26 18:16:16.125,59.9995,0.00391,120.15865,-176.8752,120.13473,-57.00572,120.15585,63.0319,1
